name                ,type                     ,location   ,services                                                                ,pricing               ,contactInfo                                   ,rating ,description
Luxor Events        ,Wedding Planner          ,Cairo      ,"Full planning, Day coordination, Vendor management"                    ,"$3000-$10000"        ,"info@luxorevents.eg, +20 123-456-7890"       ,   4.8 ,"Luxor Events specializes in luxury Egyptian weddings with attention to cultural details and traditions."
Pharaoh's Flowers   ,Florist                  ,Alexandria ,"Bouquets, Centerpieces, Venue decoration"                              ,"$500-$3000"          ,"flowers@pharaoh.com, +20 111-222-3333"       ,   4.6 ,"Creating stunning floral arrangements inspired by ancient Egyptian motifs and modern trends."
Nile Catering       ,Catering                 ,Cairo      ,"Traditional Egyptian cuisine, International options, Dessert stations" ,"$50-$150 per person" ,"orders@nilecatering.eg, +20 109-876-5432"    ,   4.7 ,"Authentic Egyptian cuisine with modern presentation, specializing in large wedding feasts."
Pyramid Photography ,Photography              ,Giza       ,"Wedding photography, Videography, Photo booths"                        ,"$1500-$5000"         ,"capture@pyramidphoto.com, +20 100-200-3000"  ,   4.9 ,"Award-winning photography capturing the magic of Egyptian weddings with artistic flair."
Sahara Sounds       ,Music & Entertainment    ,Cairo      ,"DJ services, Live bands, Traditional Egyptian music"                   ,"$800-$3000"          ,"booking@saharasounds.eg, +20 122-333-4444"   ,   4.5 ,"Blending traditional Egyptian music with contemporary hits for an unforgettable celebration."
Cleopatra Beauty    ,Beauty & Makeup          ,Cairo      ,"Bridal makeup, Hair styling, Henna art"                                ,"$200-$800"           ,"beauty@cleopatrasalon.com, +20 101-202-3030" ,   4.8 ,"Luxury beauty services specializing in traditional and modern Egyptian bridal looks."
King's Attire       ,Wedding Attire           ,Cairo      ,"Bridal gowns, Tuxedos, Traditional Egyptian wedding attire"            ,"$1000-$5000"         ,"sales@kingsattire.eg, +20 111-999-8888"      ,   4.7 ,"Bespoke wedding attire combining Egyptian traditions with contemporary designs."
Oasis Decor         ,Decor & Rentals          ,Alexandria ,"Lighting, Furniture rentals, Themed decorations"                       ,"$2000-$8000"         ,"info@oasisdecor.com, +20 123-987-6543"       ,   4.6 ,"Creating magical wedding environments inspired by Egypt's rich cultural heritage."
Royal Invitations   ,Invitations & Stationery ,Cairo      ,"Custom invitations, Wedding programs, Thank you cards"                 ,"$300-$1500"          ,"orders@royalinvites.eg, +20 112-345-6789"    ,   4.5 ,"Elegant stationery featuring Egyptian motifs and calligraphy for sophisticated weddings."
Desert Rose Bakery  ,Cakes & Desserts         ,Luxor      ,"Wedding cakes, Egyptian dessert tables, Custom sweets"                 ,"$500-$2000"          ,"orders@desertrose.com, +20 100-100-2000"     ,   4.8 ,"Artisanal wedding cakes and traditional Egyptian desserts with modern presentation."
Plage Photos        ,Photography              ,Alexandria ,"Wedding photography, Videography, Photo booths, Beach Weddings"        ,"$1500-$5000"         ,"+20 109-876-5432"                            ,   4.7 ,"Award-winning photography capturing the magic of Egyptian weddings with artistic flair."
